DLC	WSAbove	YawErr	WindSeed	WaveSeed	B1Pitch	WindType	DirtyAero	Tsim	CaseName
120	2	-10	2	3	1	0	0	600	'DLC120_ws13_yeNEG_s2_r3_PIT'
120	2	0	1	1	0	0	0	600	'DLC120_ws13_ye000_s1_r1'
120	8	-10	3	2	0	0	0	600	'DLC120_ws19_yeNEG_s3_r2'
120	8	0	2	1	1	0	0	600	'DLC120_ws19_ye000_s2_r1_PIT'
120	12	0	3	3	0	0	0	600	'DLC120_ws23_ye000_s3_r3'
140	2	0	0	1	0	1	0	200	'DLC140_ws13_ye000_s0_r1_ECD'
150	2	0	0	1	0	3	0	200	'DLC150_ws13_ye000_s0_r1_EWS'
230	2	0	0	1	0	2	0	200	'DLC230_ws13_ye000_s0_r1_EOG'
121	2	0	1	1	0	0	1	600	'DLC121_ws13_ye000_s1_r1_DRT'
121	8	0	2	2	0	0	1	600	'DLC121_ws19_ye000_s2_r2_DRT'
121	12	0	3	3	0	0	1	600	'DLC121_ws23_ye000_s3_r3_DRT'
122	4	0	0	1	0	4	0	1200	'DLC122_ws15_ye000_s0_r1_STP'
