WS     PMF    WHav  WPmin(avgWH)  WPmax(avgWH)
 0.00 0.00831  1.578  7.040 18.304
 1.40 0.02145  1.493  7.040 19.712
 2.80 0.03982  1.586  7.040 18.304
 4.20 0.05714  1.641  7.040 18.304
 5.60 0.07635  1.758  5.632 19.712
 7.00 0.08497  1.837  5.632 19.712
 8.40 0.11046  2.012  8.448 21.120
 9.80 0.09421  2.194  7.040 19.712
11.19 0.08975  2.402  7.040 19.712
12.59 0.08132  2.727  7.040 18.304
13.99 0.07226  2.988  7.040 16.896
15.39 0.05732  3.373  8.448 18.304
16.79 0.05143  3.673  8.448 18.304
18.19 0.05015  4.054  9.856 21.120
19.59 0.03143  4.441  9.856 18.304
20.99 0.02328  4.720  9.856 16.896
22.39 0.01717  5.184 11.264 21.120
23.79 0.01216  5.521 11.264 19.712
25.19 0.00782  5.923 11.264 19.712
26.59 0.00571  6.073 11.264 18.304
27.99 0.00382  6.777 11.264 16.896
29.39 0.00197  7.063 12.672 18.304
30.79 0.00116  7.466 12.672 15.488
32.18 0.00036  8.028 12.672 15.488
33.58 0.00024  8.375 14.080 15.488
34.98 0.00023  9.022 14.080 16.896
36.38 0.00006  8.000 15.488 16.896
37.78 0.00006 10.500 14.080 18.304
39.18 0.00003 10.500 15.488 16.896
